,Identifier,SEDOL,PriceDate,Close,Close_crawler,Pricedate_crawler
202,FOXF.OQ,BCRY5K3,7/11/2019 0:00,79.66,79.66,07/14/2019 18:27
203,INCH.L,B61TVQ0,7/11/2019 0:00,5.9700003,597.00,07/14/2019 18:27
204,UHAL.OQ,2028174,7/11/2019 0:00,376.69,376.69,07/14/2019 18:27
205,2238.HK,B433995,7/11/2019 0:00,7.96,7.96,07/14/2019 18:27
206,6923.T,6841106,7/11/2019 0:00,2668.0,2668,07/14/2019 18:27
207,3898.HK,B1L3XL6,7/11/2019 0:00,40.1,40.10,07/14/2019 18:27
208,5334.T,6619604,7/11/2019 0:00,1941.0,1941,07/14/2019 18:27
209,2105.TW,6190228,7/11/2019 0:00,40.4,40.40,07/14/2019 18:27
210,PIRC.MI,BZ5ZHK3,7/11/2019 0:00,5.516,5.52,07/14/2019 18:27
211,UNP.N,2914734,7/11/2019 0:00,171.75,171.75,07/14/2019 18:27
212,UPS.N,2517382,7/11/2019 0:00,103.33,103.33,07/14/2019 18:27
213,CNR.TO,2180632,7/11/2019 0:00,122.16,122.16,07/14/2019 18:27
214,CSX.OQ,2160753,7/11/2019 0:00,77.25,77.25,07/14/2019 18:27
215,NSC.N,2641894,7/11/2019 0:00,201.5,201.50,07/14/2019 18:27
216,FDX.N,2142784,7/11/2019 0:00,162.6,162.60,07/14/2019 18:27
217,AMA.MC,B3MSM28,7/11/2019 0:00,71.64,71.64,07/14/2019 18:27
218,CP.TO,2793115,7/11/2019 0:00,310.19,310.19,07/14/2019 18:27
219,DPWGn.DE,4617859,7/11/2019 0:00,29.445,29.44,07/14/2019 18:27
220,TCL.AX,6200882,7/11/2019 0:00,15.41,15.41,07/14/2019 18:27
221,DSV.CO,B1WT5G2,7/11/2019 0:00,633.2,.633.20,07/14/2019 18:27
222,AENA.MC,BVRZ8L1,7/11/2019 0:00,171.95,171.95,07/14/2019 18:27
223,BXB.AX,B1FJ0C0,7/11/2019 0:00,12.23,12.23,07/14/2019 18:27
224,EXPD.OQ,2325507,7/11/2019 0:00,72.43,72.43,07/14/2019 18:27
225,SYD.AX,B70DWB2,7/11/2019 0:00,8.1,8.10,07/14/2019 18:27
226,KSU.N,2607647,7/11/2019 0:00,121.13,121.13,07/14/2019 18:27
227,ATL.MI,7667163,7/11/2019 0:00,24.33,24.33,07/14/2019 18:27
228,BIP.N,B2NHY98,7/11/2019 0:00,43.95,43.95,07/14/2019 18:27
229,CHRW.OQ,2116228,7/11/2019 0:00,82.84,82.84,07/14/2019 18:27
230,ODFL.OQ,2656423,7/11/2019 0:00,142.8,142.80,07/14/2019 18:27
231,ZTO.N,BYYDFN0,7/11/2019 0:00,19.8,19.80,07/14/2019 18:27
232,AOT.BK,BDFLHW9,7/11/2019 0:00,73.75,73.75,07/14/2019 18:27
233,MAERSKb.CO,4253048,7/11/2019 0:00,7730.0,.7730.00,07/14/2019 18:27
234,JBHT.OQ,2445416,7/11/2019 0:00,87.76,87.76,07/14/2019 18:27
235,KNIN.S,B142S60,7/11/2019 0:00,143.1,143.10,07/14/2019 18:27
236,AZJ.AX,B87CVM3,7/11/2019 0:00,5.57,5.57,07/14/2019 18:27
237,GETP.PA,B292JQ9,7/11/2019 0:00,13.73,13.73,07/14/2019 18:27
238,AIA.NZ,BKX3XG2,7/11/2019 0:00,9.5,9.50,07/14/2019 18:27
239,SABR.OQ,BLLHH27,7/11/2019 0:00,22.91,22.91,07/14/2019 18:27
240,9064.T,6985565,7/11/2019 0:00,2210.5,2210,07/14/2019 18:27
241,RAIL3.SA,BYXZ2W5,7/11/2019 0:00,21.7,21.70,07/14/2019 18:27
242,ADP.PA,B164FY1,7/11/2019 0:00,159.8,159.80,07/14/2019 18:27
243,GWR.N,2374060,7/11/2019 0:00,109.61,109.61,07/14/2019 18:27
244,XPO.N,B6Z1355,7/11/2019 0:00,55.02,55.02,07/14/2019 18:27
245,APSE.BO,B28XXH2,7/11/2019 0:00,412.8,412.80,07/14/2019 18:27
246,9143.T,BFFY885,7/11/2019 0:00,3020.0,3020,07/14/2019 18:27
247,LSTR.OQ,2503994,7/11/2019 0:00,104.89,104.89,07/14/2019 18:27
248,KNX.N,BF0LKD0,7/11/2019 0:00,31.49,31.49,07/14/2019 18:27
249,CCRO3.SA,2840970,7/11/2019 0:00,14.65,14.65,07/14/2019 18:27
250,9062.T,6642127,7/11/2019 0:00,5790.0,5790,07/14/2019 18:27
251,GAPB.MX,B0ZV104,7/11/2019 0:00,200.67,200.67,07/14/2019 18:27
252,BBA.L,B1FP891,7/11/2019 0:00,2.802,280.20,07/14/2019 18:27
253,FHZN.S,BYQ8481,7/11/2019 0:00,181.8,181.80,07/14/2019 18:27
254,MIC.N,B1Z4VB1,7/11/2019 0:00,41.84,41.84,07/14/2019 18:27
255,ASURB.MX,2639349,7/11/2019 0:00,310.23,310.23,07/14/2019 18:27
256,FRAG.DE,7107551,7/11/2019 0:00,73.0,73.00,07/14/2019 18:27
257,EFN.TO,B7FNMQ2,7/11/2019 0:00,9.88,9.88,07/14/2019 18:27
